Name of the initiative,Instrument Type,Jurisdiction Covered,Price_label_1_1990,Price_rate_1_1990,Price_label_2_1990,Price_rate_2_1990,Price_label_1_1991,Price_rate_1_1991,Price_label_2_1991,Price_rate_2_1991,Price_label_1_1992,Price_rate_1_1992,Price_label_2_1992,Price_rate_2_1992,Price_label_1_1993,Price_rate_1_1993,Price_label_2_1993,Price_rate_2_1993,Price_label_1_1994,Price_rate_1_1994,Price_label_2_1994,Price_rate_2_1994,Price_label_1_1995,Price_rate_1_1995,Price_label_2_1995,Price_rate_2_1995,Price_label_1_1996,Price_rate_1_1996,Price_label_2_1996,Price_rate_2_1996,Price_label_1_1997,Price_rate_1_1997,Price_label_2_1997,Price_rate_2_1997,Price_label_1_1998,Price_rate_1_1998,Price_label_2_1998,Price_rate_2_1998,Price_label_1_1999,Price_rate_1_1999,Price_label_2_1999,Price_rate_2_1999,Price_label_1_2000,Price_rate_1_2000,Price_label_2_2000,Price_rate_2_2000,Price_label_1_2001,Price_rate_1_2001,Price_label_2_2001,Price_rate_2_2001,Price_label_1_2002,Price_rate_1_2002,Price_label_2_2002,Price_rate_2_2002,Price_label_1_2003,Price_rate_1_2003,Price_label_2_2003,Price_rate_2_2003,Price_label_1_2004,Price_rate_1_2004,Price_label_2_2004,Price_rate_2_2004,Price_label_1_2005,Price_rate_1_2005,Price_label_2_2005,Price_rate_2_2005,Price_label_1_2006,Price_rate_1_2006,Price_label_2_2006,Price_rate_2_2006,Price_label_1_2007,Price_rate_1_2007,Price_label_2_2007,Price_rate_2_2007,Price_label_1_2008,Price_rate_1_2008,Price_label_2_2008,Price_rate_2_2008,Price_label_1_2009,Price_rate_1_2009,Price_label_2_2009,Price_rate_2_2009,Price_label_1_2010,Price_rate_1_2010,Price_label_2_2010,Price_rate_2_2010,Price_label_1_2011,Price_rate_1_2011,Price_label_2_2011,Price_rate_2_2011,Price_label_1_2012,Price_rate_1_2012,Price_label_2_2012,Price_rate_2_2012,Price_label_1_2013,Price_rate_1_2013,Price_label_2_2013,Price_rate_2_2013,Price_label_1_2014,Price_rate_1_2014,Price_label_2_2014,Price_rate_2_2014,Price_label_1_2015,Price_rate_1_2015,Price_label_2_2015,Price_rate_2_2015,Price_label_1_2016,Price_rate_1_2016,Price_label_2_2016,Price_rate_2_2016,Price_label_1_2017,Price_rate_1_2017,Price_label_2_2017,Price_rate_2_2017,Price_label_1_2018,Price_rate_1_2018,Price_label_2_2018,Price_rate_2_2018,Price_label_1_2019,Price_rate_1_2019,Price_label_2_2019,Price_rate_2_2019,Price_label_1_2020,Price_rate_1_2020,Price_label_2_2020,Price_rate_2_2020,Price_label_1_Instrument_Type,Price_rate_1_Instrument_Type,Price_label_2_Instrument_Type,Price_rate_2_Instrument_Type
Alberta TIER,ETS,Alberta,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12.97465617,N/A,N/A,N/A,14.60564752,N/A,N/A,N/A,11.86427272,N/A,N/A,N/A,14.88833747,N/A,N/A,N/A,15.57794163,N/A,N/A,N/A,15.125542,N/A,N/A,N/A,14.75361464,N/A,N/A,N/A,13.60297452,N/A,N/A,N/A,11.89343482,N/A,N/A,N/A,15.37529374,N/A,N/A,N/A,23.97313676,N/A,N/A,N/A,23.25220494,N/A,N/A,N/A,22.49379498,N/A,N/A,N/A,22.62950339,N/A,N/A,,,,
Alberta carbon tax,Carbon tax,Alberta,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15.98209117,N/A,N/A,N/A,23.25220494,N/A,N/A,N/A,22.49379498,N/A,N/A,N/A,N/A,N/A,N/A,,,,
Argentina carbon tax,Carbon tax,Argentina,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Most liquid fuels,6.24,"Fuel oil, mineral coal and petroleum coke",1,Most liquid fuels,5.943965989,"Fuel oil, mineral coal and petroleum coke",1.188793198,,,,
Australia CPM,ETS,Australia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23.8993,N/A,N/A,N/A,24.657606,N/A,N/A,N/A,22.370145,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
Australia ERF Safeguard Mechanism,ETS,Australia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11.09497639,N/A,N/A,,,,
Austria undecided,Undecided,Austria,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
BC GGIRCA,ETS,British Columbia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
BC carbon tax,Carbon tax,British Columbia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.737098345,N/A,N/A,N/A,7.909515147,N/A,N/A,N/A,19.85111663,N/A,N/A,N/A,25.96323606,N/A,N/A,N/A,30.251084,N/A,N/A,N/A,29.50722927,N/A,N/A,N/A,27.20594903,N/A,N/A,N/A,23.78686965,N/A,N/A,N/A,23.0629406,N/A,N/A,N/A,23.97313676,N/A,N/A,N/A,27.12757243,N/A,N/A,N/A,29.99172663,N/A,N/A,N/A,30.17267119,N/A,N/A,,,,
Baja Calfornia carbon tax,Carbon tax,Baja California,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.025603115,N/A,N/A,,,,
Beijing pilot ETS,ETS,Beijing,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.516657724,N/A,N/A,N/A,8.21206498,N/A,N/A,N/A,8.034194853,N/A,N/A,N/A,7.586049129,N/A,N/A,N/A,9.440402552,N/A,N/A,N/A,10.40228678,N/A,N/A,N/A,13.35395336,N/A,N/A,,,,
Brazil undecided,Undecided,Brazil,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
California CaT,ETS,California,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,14.48,N/A,N/A,N/A,11.69,N/A,N/A,N/A,12.49,N/A,N/A,N/A,12.8,N/A,N/A,N/A,15.08,N/A,N/A,N/A,15.1,N/A,N/A,N/A,15.77,N/A,N/A,N/A,16.89,N/A,N/A,,,,
Canada federal OBPS,ETS,Canada,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
